data;

set PROF := DOC0047 DOC0048 DOC0050 DOC0052 DOC0053 DOC0054 DOC0056 DOC0057 DOC0058 DOC0059 DOC0060 DOC0061 DOC0062 DOC0063 DOC0064 DOC0065 DOC0066 DOC0067 DOC0068 DOC0069 DOC0070 DOC0071 DOC0072 DOC0073 DOC0074;

set DISCI := DISC00002A DISC00003A DISC00004A DISC00005A DISC00006A DISC00007A DISC00008A DISC00009A DISC00010A DISC00011A DISC00012A DISC00013A DISC00014A DISC00015A DISC00016A DISC00017A DISC00018A DISC00019A DISC00020A DISC00021A DISC00022A DISC00023A DISC00024A DISC00025A DISC00026A DISC00027A DISC00028A DISC00029A DISC00030A DISC00031A DISC00032A DISC00033A DISC00034A DISC00035A DISC00036A DISC00037A DISC00038A DISC00039A DISC00040A DISC00041A DISC00042A DISC00043A DISC00044A DISC00045A DISC00047A DISC00048A DISC00058A;

set SALA := SAL0002 SAL0003 SAL0004 SAL0005 SAL0007 SAL0013 SAL0008 SAL0012 SAL0009 SAL0010 SAL0011;

set COMBO := CMB0035 CMB0036 CMB0037 CMB0038 CMB0039 CMB0040 CMB0041 CMB0042 CMB0043 CMB0044 CMB0045 CMB0046 CMB0047 CMB0048 CMB0049 CMB0050 CMB0051 CMB0052;

set HORARIO :=  HOR001 HOR002 HOR003 HOR004;

set SEMESTRE :=  S1 S2 S3 S4 S5 S6 S7 S8 S9 S10;

set CURSO :=  CRS001;

set TURNO :=  MANHÃ TARDE;

param:		MINHp	MAXHp:=20
DOC0047		12		20
DOC0048		12		20
DOC0050		12		20
DOC0052		12		20
DOC0053		12		20
DOC0054		12		20
DOC0056		12		20
DOC0057		12		20
DOC0058		12		12
DOC0059		4		20
DOC0060		12		20
DOC0061		12		20
DOC0062		12		20
DOC0063		12		20
DOC0064		12		20
DOC0065		12		20
DOC0066		12		20
DOC0067		12		20
DOC0068		12		20
DOC0069		12		20
DOC0070		12		20
DOC0071		12		20
DOC0072		12		20
DOC0073		12		20
DOC0074		12		;
param Z :=
[DOC0047, *, *, *](tr):
					DISC00002A	DISC00003A	DISC00004A	DISC00005A	DISC00006A	DISC00007A	DISC00008A	DISC00009A	DISC00010A	DISC00011A	DISC00012A	DISC00013A	DISC00014A	DISC00015A	DISC00016A	DISC00017A	DISC00018A	DISC00019A	DISC00020A	DISC00021A	DISC00022A	DISC00023A	DISC00024A	DISC00025A	DISC00026A	DISC00027A	DISC00028A	DISC00029A	DISC00030A	DISC00031A	DISC00032A	DISC00033A	DISC00034A	DISC00035A	DISC00036A	DISC00037A	DISC00038A	DISC00039A	DISC00040A	DISC00041A	DISC00042A	DISC00043A	DISC00044A	DISC00045A	DISC00047A	DISC00048A	DISC00058A:=
CMB0035 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0035 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0036 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0036 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0037 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0037 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0038 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0038 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0039 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0039 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0040 MANHA		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
CMB0040 TARDE		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		100		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0		0
