data;

set PROF := DOC0052 DOC0064 DOC0067 DOC0073 DOC0074;

set DISCI := DISC00003A DISC00003B DISC00007A DISC00034A DISC00034B;

set SALA := SAL0002 SAL0003 SAL0009;

set COMBO := CMB0035 CMB0036 CMB0037 CMB0038 CMB0039 CMB0040 CMB0041 CMB0042 CMB0043 CMB0044 CMB0045 CMB0046 CMB0047 CMB0048 CMB0049 CMB0050 CMB0051 CMB0052;

set HORARIO :=  HOR001 HOR002 HOR003 HOR004;

set SEMESTRE :=  S1 S2 S3 S4 S5 S6 S7 S8 S9 S10;

set CURSO :=  CRS001;

set TURNO :=  MANHA TARDE;

param:		MINHp	MAXHp:=
DOC0052		12		20
DOC0064		12		20
DOC0067		12		20
DOC0073		12		20
DOC0074		12		20;

param Z :=
[DOC0052, *, *, *](tr):
					DISC00003A	DISC00003B	DISC00007A	DISC00034A	DISC00034B:=
CMB0035 MANHA		100		100		0		0		0
CMB0035 TARDE		0		0		0		0		0
CMB0036 MANHA		0		0		0		0		0
CMB0036 TARDE		100		100		0		0		0
CMB0037 MANHA		100		100		0		0		0
CMB0037 TARDE		0		0		0		0		0
CMB0038 MANHA		0		0		0		0		0
CMB0038 TARDE		100		100		0		0		0
CMB0039 MANHA		100		100		0		0		0
CMB0039 TARDE		0		0		0		0		0
CMB0040 MANHA		0		0		0		0		0
CMB0040 TARDE		100		100		0		0		0
CMB0041 MANHA		100		100		0		0		0
CMB0041 TARDE		0		0		0		0		0
CMB0042 MANHA		0		0		0		0		0
CMB0042 TARDE		100		100		0		0		0
CMB0043 MANHA		100		100		0		0		0
CMB0043 TARDE		0		0		0		0		0
CMB0044 MANHA		0		0		0		0		0
CMB0044 TARDE		100		100		0		0		0
CMB0045 MANHA		100		100		0		0		0
CMB0045 TARDE		0		0		0		0		0
CMB0046 MANHA		0		0		0		0		0
CMB0046 TARDE		100		100		0		0		0
CMB0047 MANHA		100		100		0		0		0
CMB0047 TARDE		0		0		0		0		0
CMB0048 MANHA		100		100		0		0		0
CMB0048 TARDE		0		0		0		0		0
CMB0049 MANHA		0		0		0		0		0
CMB0049 TARDE		100		100		0		0		0
CMB0050 MANHA		0		0		0		0		0
CMB0050 TARDE		100		100		0		0		0
CMB0051 MANHA		100		100		0		0		0
CMB0051 TARDE		0		0		0		0		0
CMB0052 MANHA		0		0		0		0		0
CMB0052 TARDE		100		100		0		0		0

[DOC0064, *, *, *](tr):
					DISC00003A	DISC00003B	DISC00007A	DISC00034A	DISC00034B:=
CMB0035 MANHA		0		0		100		0		0
CMB0035 TARDE		0		0		0		0		0
CMB0036 MANHA		0		0		0		0		0
CMB0036 TARDE		0		0		100		0		0
CMB0037 MANHA		0		0		100		0		0
CMB0037 TARDE		0		0		0		0		0
CMB0038 MANHA		0		0		0		0		0
CMB0038 TARDE		0		0		100		0		0
CMB0039 MANHA		0		0		100		0		0
CMB0039 TARDE		0		0		0		0		0
CMB0040 MANHA		0		0		0		0		0
CMB0040 TARDE		0		0		100		0		0
CMB0041 MANHA		0		0		100		0		0
CMB0041 TARDE		0		0		0		0		0
CMB0042 MANHA		0		0		0		0		0
CMB0042 TARDE		0		0		100		0		0
CMB0043 MANHA		0		0		100		0		0
CMB0043 TARDE		0		0		0		0		0
CMB0044 MANHA		0		0		0		0		0
CMB0044 TARDE		0		0		100		0		0
CMB0045 MANHA		0		0		100		0		0
CMB0045 TARDE		0		0		0		0		0
CMB0046 MANHA		0		0		0		0		0
CMB0046 TARDE		0		0		100		0		0
CMB0047 MANHA		0		0		100		0		0
CMB0047 TARDE		0		0		0		0		0
CMB0048 MANHA		0		0		100		0		0
CMB0048 TARDE		0		0		0		0		0
CMB0049 MANHA		0		0		0		0		0
CMB0049 TARDE		0		0		100		0		0
CMB0050 MANHA		0		0		0		0		0
CMB0050 TARDE		0		0		100		0		0
CMB0051 MANHA		0		0		100		0		0
CMB0051 TARDE		0		0		0		0		0
CMB0052 MANHA		0		0		0		0		0
CMB0052 TARDE		0		0		100		0		0

[DOC0067, *, *, *](tr):
					DISC00003A	DISC00003B	DISC00007A	DISC00034A	DISC00034B:=
CMB0035 MANHA		0		0		100		0		0
CMB0035 TARDE		0		0		0		0		0
CMB0036 MANHA		0		0		0		0		0
CMB0036 TARDE		0		0		100		0		0
CMB0037 MANHA		0		0		100		0		0
CMB0037 TARDE		0		0		0		0		0
CMB0038 MANHA		0		0		0		0		0
CMB0038 TARDE		0		0		100		0		0
CMB0039 MANHA		0		0		100		0		0
CMB0039 TARDE		0		0		0		0		0
CMB0040 MANHA		0		0		0		0		0
CMB0040 TARDE		0		0		100		0		0
CMB0041 MANHA		0		0		100		0		0
CMB0041 TARDE		0		0		0		0		0
CMB0042 MANHA		0		0		0		0		0
CMB0042 TARDE		0		0		100		0		0
CMB0043 MANHA		0		0		100		0		0
CMB0043 TARDE		0		0		0		0		0
CMB0044 MANHA		0		0		0		0		0
CMB0044 TARDE		0		0		100		0		0
CMB0045 MANHA		0		0		100		0		0
CMB0045 TARDE		0		0		0		0		0
CMB0046 MANHA		0		0		0		0		0
CMB0046 TARDE		0		0		100		0		0
CMB0047 MANHA		0		0		100		0		0
CMB0047 TARDE		0		0		0		0		0
CMB0048 MANHA		0		0		100		0		0
CMB0048 TARDE		0		0		0		0		0
CMB0049 MANHA		0		0		0		0		0
CMB0049 TARDE		0		0		100		0		0
CMB0050 MANHA		0		0		0		0		0
CMB0050 TARDE		0		0		100		0		0
CMB0051 MANHA		0		0		100		0		0
CMB0051 TARDE		0		0		0		0		0
CMB0052 MANHA		0		0		0		0		0
CMB0052 TARDE		0		0		100		0		0

[DOC0073, *, *, *](tr):
					DISC00003A	DISC00003B	DISC00007A	DISC00034A	DISC00034B:=
CMB0035 MANHA		0		0		0		100		100
CMB0035 TARDE		0		0		0		0		0
CMB0036 MANHA		0		0		0		0		0
CMB0036 TARDE		0		0		0		100		100
CMB0037 MANHA		0		0		0		100		100
CMB0037 TARDE		0		0		0		0		0
CMB0038 MANHA		0		0		0		0		0
CMB0038 TARDE		0		0		0		100		100
