data;
set PROF := Prof01 Prof02 Prof03 Prof04 Prof05 Prof06 Prof07 Prof08 Prof09 Prof10 Prof11 Prof12 Prof13 Prof14 Prof15 Prof16 Prof17 Prof18  Prof19;

set DISCI := RUCB1 RUCB2 RUTC1 RUCD2 RUCD1 RUTA1 RUCC1 RUCE1 RUCK1 RUCD3 RUTE4 RUTB1 RUTD1 RUCB3 RUTE1 RUTE219 RUTB3 RUCD33 RUTD2 RUTE7 RUTE3 RUTE147 RUTB5 RUTE13 RUTE175 RUTE220 RUTC221 RUTE222 RUTE223 RUTH1 RUTD3 RUTB7 RUTE197 RUTE224 RUTE225 RUTE228;

set SALA:= Sala03 Sala13 Sala14; 		# SALA - S

set COMBO:= CB01 CB02 CB03 CB04 CB05 CB06 CB07 CB08 CB09 CB10; 	# COMBO - B

set HORARIO:= h0800_1000 h1000_1200 h1330_1530 h1530_1730; 	# HORARIO - H



# A partir daqui

param: MINHp  := 
Prof01	12
Prof02	12
Prof03	12
Prof04	12
Prof05	12
Prof06	12
Prof07	12
Prof08	12
Prof09	12
Prof10	12
Prof11	12
Prof12	12
Prof13	12
Prof14	12
Prof15	12
Prof16	12
Prof17	12
Prof18	12
Prof19	12;

param: MAXHp  := 
Prof01	20
Prof02	20
Prof03	20
Prof04	20
Prof05	20
Prof06	20
Prof07	20
Prof08	20
Prof09	20
Prof10	20
Prof11	20
Prof12	20
Prof13	20
Prof14	20
Prof15	20
Prof16	20
Prof17	20
Prof18	20
Prof19	20;

param z:CB01	CB02	CB03	CB04	CB05	CB06	CB07	CB08	CB09	CB10 :=	
Prof01	0	100	-100	0	0	0	0	-100	-100	-100
Prof02	100	100	100	0	0	0	0	-100	-100	-100
Prof03	0	0	0	-100	0	100	100	100	-100	-100
Prof04	0	0	0	0	100	100	100	100	-100	-100
Prof05	0	0	0	100	100	100	100	100	-100	-100
Prof06	100	100	100	0	0	0	0	100	-100	-100
Prof07	-100	100	100	-100	0	0	0	0	100	100
Prof08	100	100	100	0	0	0	0	0	-100	-100
Prof09	0	100	100	-100	0	0	0	0	-100	-100
Prof10	-100	100	100	-100	0	0	0	-100	-100	-100
Prof11	100	100	100	100	100	100	0	-100	-100	-100
Prof12	100	100	100	0	0	0	0	0	-100	-100
Prof13	100	100	100	-100	0	0	0	-100	-100	-100
Prof14	100	100	100	0	0	0	0	0	-100	-100
Prof15	0	100	100	-100	0	0	0	0	100	100
Prof16	0	0	0	-100	100	100	100	100	-100	-100
Prof17	0	0	0	-100	100	100	100	100	-100	-100
Prof18	100	100	100	0	0	0	0	0	0	0
Prof19	100	100	100	0	0	0	0	0	0	0	;

param: Nc:=
RUCB1	8
RUCB2 	4
RUTC1	4
RUCD2	2
RUCD1	8
RUTA1	2
RUCC1	4
RUCE1	6
RUCK1	6
RUCD3	4
RUTE4	4
RUTB1	3
RUTD1	4
RUCB3	4
RUTE1	4
RUTE219	4
RUTB3	3
RUCD33	4
RUTD2	3
RUTE7	4
RUTE3	4
RUTE147	6
RUTB5	4
RUTE13	4
RUTE175	4
RUTE220	4
RUTC221	4
RUTE222	4
RUTE223	2
RUTH1	4
RUTD3	3
RUTB7	4
RUTE197 4
RUTE224	4
RUTE225	4
RUTE228 4 ;




